High,High_x,HighMedium,HighMedium_x,Medium,Medium_x,MediumLow,MediumLow_x,Low,Low_x
61399,2010-08-10,69550,2010-06-30,51377,2010-09-10,22752,2010-04-22,36397,2010-06-17
22517,2010-04-30,59010,2010-08-03,76282,2010-03-31,72726,2010-05-28,71175,2010-10-25
47941,2010-10-29,69550,2010-07-30,84129,2010-07-20,34032,2011-02-16,59176,2010-09-14
48506,2010-04-29,43123,2010-09-23,88313,2010-05-27,53613,2010-11-22,75819,2010-11-19
83421,2010-03-23,38703,2010-09-29,54148,2010-09-24,51369,2010-09-09,40416,2010-06-02
76082,2010-05-11,60871,2010-03-26,34746,2010-11-26,22779,2010-01-29,80711,2011-02-08
25785,2011-02-24,77659,2010-07-29,86228,2010-11-11,22779,2010-01-29,75186,2010-06-22
19502,2010-06-25,35044,2010-11-24,91143,2010-11-30,81138,2010-08-13,88352,2010-08-31
60442,2010-09-27,35044,2010-11-24,27828,2010-08-27,82598,2011-02-23,84032,2010-03-26
88313,2010-06-24,27983,2011-02-28,85792,2010-11-16,60442,2010-10-15,85072,2011-01-27
21186,2010-03-25,42906,2010-09-29,68144,2010-11-26,69550,2010-08-03,60628,2010-06-17
35044,2010-10-28,66384,2010-04-20,68144,2010-09-07,89004,2010-06-03,91233,2010-09-13
83421,2010-04-28,89303,2011-01-24,89301,2010-06-24,81910,2010-04-26,75828,2010-12-02
52337,2010-12-09,89626,2010-09-29,66181,2010-07-28,75034,2010-04-19,76712,2010-12-15
45277,2010-09-24,87842,2010-10-15,82298,2010-03-25,75186,2010-07-01,66800,2011-02-28
76082,2010-04-29,85792,2010-09-16,38703,2010-08-30,52978,2011-02-02,39917,2010-10-18
44951,2010-08-31,76625,2011-02-23,66157,2010-09-29,70536,2011-02-09,53613,2010-09-22
82618,2010-10-26,24643,2010-06-18,17478,2010-04-23,25419,2010-07-30,24942,2010-09-27
49015,2010-11-24,84129,2010-08-25,84342,2010-06-18,10107,2010-06-30,76201,2010-03-31
84129,2010-09-28,38703,2010-10-15,35044,2010-07-21,91883,2010-09-22,81138,2011-01-10
53225,2010-08-16,49154,2011-02-23,92611,2010-12-17,92618,2011-02-14,83699,2010-10-22
53225,2010-08-16,77976,2010-06-01,27828,2010-08-27,69796,2011-01-25,25081,2010-10-25
77605,2010-03-15,79094,2010-05-03,77281,2010-08-30,86111,2010-04-29,81776,2010-02-24
76619,2010-06-29,88845,2010-06-30,82298,2010-12-27,54148,2010-06-22,81776,2011-01-31
54148,2010-11-26,45241,2010-05-17,75825,2010-09-20,70308,2010-11-30,39490,2010-03-26
